anio,mes,total_reservas_mes
2018,1,121
2018,2,107
2018,3,81
2018,4,63
2018,5,31
2018,6,68
2018,7,114
2018,8,86
2018,9,35
2018,10,44
2018,11,87
2018,12,108
2019,1,148
2019,2,127
2019,3,98
2019,4,99
2019,5,29
2019,6,102
2019,7,136
2019,8,69
2019,9,41
2019,10,36
2019,11,84
2019,12,142
2020,1,130
2020,2,166
2020,3,78
2020,4,97
2020,5,41
2020,6,84
2020,7,137
2020,8,81
2020,9,30
2020,10,47
2020,11,78
2020,12,137
2021,1,167
2021,2,163
2021,3,92
2021,4,97
2021,5,51
2021,6,124
2021,7,160
2021,8,96
2021,9,39
2021,10,44
2021,11,90
2021,12,144
2022,1,191
2022,2,187
2022,3,129
2022,4,87
2022,5,58
2022,6,123
2022,7,167
2022,8,104
2022,9,60
2022,10,33
2022,11,99
2022,12,181
2023,1,158
2023,2,189
2023,3,98
2023,4,135
2023,5,56
2023,6,90
2023,7,220
2023,8,95
2023,9,52
2023,10,59
2023,11,113
2023,12,147
2024,1,197
2024,2,225
2024,3,102
2024,4,119
2024,5,52
2024,6,89
2024,7,213
2024,8,100
2024,9,52
2024,10,64
2024,11,116
2024,12,211
2025,1,234
2025,2,213
2025,3,131
2025,4,129
2025,5,70
2025,6,132
2025,7,191
2025,8,123
2025,9,64
2025,10,56
2025,11,132
2025,12,210
2026,1,201
2026,2,248
2026,3,108
2026,4,150
2026,5,70
